npm,kd_mk,nilai,kode_pras1,kode_pras2,kode_pras3,kode_pras4,nilai_angka,y
706166200,IKO41254,A,IKI30202,,,,4.0,lulus
706166264,IKS22602,B+,IKS12600,,,,3.3,lulus
706166301,IKI40903,B+,,,,,3.3,lulus
706166213,IKO31350,B,IKI10400,IKI20102,,,3.0,hati hati
706166320,IKS31650,B+,IKS12800,,,,3.3,lulus
706166232,IKO31900,B+,,,,,3.3,lulus
706166264,IKI40902,B+,,,,,3.3,lulus
706165961,IKS31951,A,,,,,4.0,lulus
706166245,IKO41557,B-,IKO31503,,,,2.7,hati hati
706166296,IKO31900,A-,,,,,3.7,lulus
706166301,IKO31204,C+,IKI10400,IKI20505,,,2.3,hati hati
706166213,BIO20114,A,,,,,4.0,lulus
706166320,IKI40902,A,,,,,4.0,lulus
706166320,IKO32402,B+,IKI10400,,,,3.3,lulus
706166245,IKI30202,A,IKI10200,,,,4.0,lulus
706166264,IKO21105,A,,,,,4.0,lulus
706166352,IKO31900,A-,,,,,3.7,lulus
706165955,IKO41557,A-,IKO31503,,,,3.7,lulus
706165961,IKO41253,A-,IKI10100,IKI10200,,,3.7,lulus
706166213,IKS22602,A-,IKS12600,,,,3.7,lulus
706166320,IKO41254,A,IKI30202,,,,4.0,lulus
706165961,IKO41357,B-,IKI10400,,,,2.7,hati hati
706166296,IKS31650,A-,IKS12800,,,,3.7,lulus
706166232,IKI40903,C,,,,,2.0,hati hati
706166346,IKI40902,A-,,,,,3.7,lulus
706166200,IKS41757,B-,IKS31504,,,,2.7,hati hati
706166213,IKO31900,B-,,,,,2.7,hati hati
706166232,IKO41254,B-,IKI30202,,,,2.7,hati hati
706166264,IKO32402,B-,IKI10400,,,,2.7,hati hati
706166296,IKO32402,B-,IKI10400,,,,2.7,hati hati
706166320,IKI40903,B-,,,,,2.7,hati hati
706166200,IKI40902,C,,,,,2.0,hati hati
706166301,IKO41254,C,IKI30202,,,,2.0,hati hati
706166296,IKO41352,C,IKO31300,,,,2.0,hati hati
706165961,IKI40902,C,,,,,2.0,hati hati
706166346,IKS31951,C,,,,,2.0,hati hati
706166352,IKO32402,A-,IKI10400,,,,3.7,lulus
706166352,IKS31951,C,,,,,2.0,hati hati
706271380,IKO41357,B+,IKI10400,,,,3.3,lulus
706271393,IKI20102,B+,,,,,3.3,lulus
706271374,IKO41557,A-,IKO31503,,,,3.7,lulus
706271443,IKO41557,C,IKO31503,,,,2.0,hati hati
706271380,IKO32402,A,IKI10400,,,,4.0,lulus
706271380,IKO41557,A,IKO31503,,,,4.0,lulus
706271456,IKO31900,B+,,,,,3.3,lulus
706271462,IKO41357,B+,IKI10400,,,,3.3,lulus
706271393,IKO31900,B+,,,,,3.3,lulus
706166352,IKS22602,A,IKS12600,,,,4.0,lulus
706271481,IKI40903,B+,,,,,3.3,lulus
706271424,BJN20635,A-,,,,,3.7,lulus
706271494,IKO32402,B+,IKI10400,,,,3.3,lulus
706271374,IKO31258,B+,IKI20505,IKI10103,IKO21105,,3.3,lulus
706271424,IKO41357,B+,IKI10400,,,,3.3,lulus
706271405,IKS22602,B+,IKS12600,,,,3.3,lulus
706271443,IKS41757,A,IKS31504,,,,4.0,lulus
706271424,IKO41254,A,IKI30202,,,,4.0,lulus
706271462,IKI40902,A,,,,,4.0,lulus
706271462,IKO31900,B+,,,,,3.3,lulus
706271494,IKI40903,A-,,,,,3.7,lulus
706271494,IKO41356,B+,IKI10400,,,,3.3,lulus
706271506,IKO41357,A,IKI10400,,,,4.0,lulus
706271405,IKO31900,A,,,,,4.0,lulus
706271374,IKO22401,B-,IKI10100,IKI20101,,,2.7,hati hati
706271380,IKO31900,A-,,,,,3.7,lulus
706271405,IKO41352,C,IKO31300,,,,2.0,hati hati
706271443,IKO41352,A-,IKO31300,,,,3.7,lulus
706271456,IKO41254,A,IKI30202,,,,4.0,lulus
706271506,IKO31900,C,,,,,2.0,hati hati
706271481,IKO41352,A-,IKO31300,,,,3.7,lulus
706271512,IKI40903,A-,,,,,3.7,lulus
706271424,IKO31900,B-,,,,,2.7,hati hati
706271424,IKS31951,B-,,,,,2.7,hati hati
706271481,BJN20635,B-,,,,,2.7,hati hati
706271481,IKO41357,B-,IKI10400,,,,2.7,hati hati
706271512,IKO31350,A,IKI10400,IKI20102,,,4.0,lulus
706271374,IKS41851,A,IKS31504,IKI20700,IKS12800,,4.0,lulus
706271462,IKS22602,A,IKS12600,,,,4.0,lulus
706271506,IKI40902,A,,,,,4.0,lulus
706271494,IKI40902,C,,,,,2.0,hati hati
706271393,IKI10830,C,,,,,2.0,hati hati
706271456,IKO41557,C,IKO31503,,,,2.0,hati hati
706271512,IKO32402,B+,IKI10400,,,,3.3,lulus
706271512,IKO41357,A,IKI10400,,,,4.0,lulus
706271525,IKO21105,B+,,,,,3.3,lulus
706271544,IKI40903,B+,,,,,3.3,lulus
706271595,IKI40902,A,,,,,4.0,lulus
706271550,IKO41254,B+,IKI30202,,,,3.3,lulus
