,pras1,pras2,y
877,3.0,4.0,tidak lulus
878,4.0,3.0,tidak lulus
879,3.0,4.0,tidak lulus
880,4.0,3.0,tidak lulus
881,4.0,3.0,tidak lulus
882,2.0,3.0,tidak lulus
883,3.0,4.0,tidak lulus
884,4.0,3.0,tidak lulus
885,3.0,4.0,tidak lulus
886,4.0,3.0,tidak lulus
887,2.0,3.0,tidak lulus
888,2.0,3.0,tidak lulus
889,2.0,3.0,tidak lulus
890,3.0,4.0,tidak lulus
891,4.0,3.0,tidak lulus
892,4.0,3.0,tidak lulus
893,4.0,3.0,tidak lulus
894,2.0,3.0,tidak lulus
895,3.0,4.0,tidak lulus
896,2.0,3.0,tidak lulus
897,2.0,3.0,tidak lulus
898,4.0,3.0,tidak lulus
899,2.0,3.0,tidak lulus
900,4.0,3.0,tidak lulus
901,4.0,3.0,tidak lulus
902,2.0,3.0,tidak lulus
903,2.0,3.0,tidak lulus
904,3.0,4.0,tidak lulus
905,3.0,4.0,tidak lulus
906,2.0,3.0,tidak lulus
907,2.0,3.0,tidak lulus
908,2.0,3.0,tidak lulus
909,3.0,4.0,tidak lulus
910,2.0,3.0,tidak lulus
911,4.0,3.0,tidak lulus
912,2.0,3.0,tidak lulus
913,3.0,4.0,tidak lulus
914,2.0,3.0,tidak lulus
915,4.0,3.0,tidak lulus
916,3.0,4.0,tidak lulus
917,4.0,3.0,tidak lulus
918,3.0,4.0,tidak lulus
919,3.0,4.0,tidak lulus
920,2.0,3.0,tidak lulus
921,4.0,3.0,tidak lulus
922,2.0,3.0,tidak lulus
923,2.0,3.0,tidak lulus
924,2.0,3.0,tidak lulus
925,3.0,4.0,tidak lulus
926,4.0,3.0,tidak lulus
927,4.0,3.0,tidak lulus
928,4.0,3.0,tidak lulus
929,4.0,3.0,tidak lulus
930,4.0,3.0,tidak lulus
931,4.0,3.0,tidak lulus
932,4.0,3.0,tidak lulus
933,2.0,3.0,tidak lulus
934,2.0,3.0,tidak lulus
935,3.0,4.0,tidak lulus
936,3.0,4.0,tidak lulus
937,3.0,4.0,tidak lulus
938,2.0,3.0,tidak lulus
939,2.0,3.0,tidak lulus
940,4.0,3.0,tidak lulus
941,3.0,4.0,tidak lulus
